,IncidentFromDate,PRCP,OffenseCode,Offense Description,CaseStatus,LocationLandmark
0,2015,0.06,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
1,2015,0.06,9999,Non-Crime (not reported to state),Closed/Cleared,Barnes and Noble Bookstore
2,2015,0.06,2903,Damage to Property – Public,Inactive,Klaus Advanced Computing Building   153   Z3
3,2015,0.24,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
4,2015,0.24,9999,Non-Crime (not reported to state),Closed/Cleared,Barnes and Noble Bookstore
5,2015,0.24,2903,Damage to Property – Public,Inactive,Klaus Advanced Computing Building   153   Z3
6,2015,0.28,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
7,2015,0.28,9999,Non-Crime (not reported to state),Closed/Cleared,Barnes and Noble Bookstore
8,2015,0.28,2903,Damage to Property – Public,Inactive,Klaus Advanced Computing Building   153   Z3
9,2015,0.29,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
10,2015,0.29,9999,Non-Crime (not reported to state),Closed/Cleared,Barnes and Noble Bookstore
11,2015,0.29,2903,Damage to Property – Public,Inactive,Klaus Advanced Computing Building   153   Z3
12,2015,0.15,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
13,2015,0.15,9999,Non-Crime (not reported to state),Closed/Cleared,Barnes and Noble Bookstore
14,2015,0.15,2903,Damage to Property – Public,Inactive,Klaus Advanced Computing Building   153   Z3
15,2015,0.26,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
16,2015,0.26,9999,Non-Crime (not reported to state),Closed/Cleared,Barnes and Noble Bookstore
17,2015,0.26,2903,Damage to Property – Public,Inactive,Klaus Advanced Computing Building   153   Z3
18,2015,0.16,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
19,2015,0.16,9999,Non-Crime (not reported to state),Closed/Cleared,Barnes and Noble Bookstore
20,2015,0.16,2903,Damage to Property – Public,Inactive,Klaus Advanced Computing Building   153   Z3
21,2015,0.16,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
22,2015,0.16,9999,Non-Crime (not reported to state),Closed/Cleared,Barnes and Noble Bookstore
23,2015,0.16,2903,Damage to Property – Public,Inactive,Klaus Advanced Computing Building   153   Z3
24,2015,0.16,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
25,2015,0.16,9999,Non-Crime (not reported to state),Closed/Cleared,Barnes and Noble Bookstore
26,2015,0.16,2903,Damage to Property – Public,Inactive,Klaus Advanced Computing Building   153   Z3
27,2015,0.13,9999,Non-Crime (not reported to state),Closed/Cleared,Library   77   Z2
28,2015,0.13,9999,Non-Crime (not reported to state),Closed/Cleared,Barnes and Noble Bookstore
29,2015,0.13,2903,Damage to Property – Public,Inactive,Klaus Advanced Computing Building   153   Z3
30,2015,0.54,9999,Non-Crime (not reported to state),Inactive,Library   77   Z2
31,2015,0.54,9999,Non-Crime (not reported to state),Inactive,Klaus Advanced Computing Building
32,2015,0.54,9999,Non-Crime (not reported to state),Closed/Cleared,"Tenth Street, NW @ Fowler Street, NW"
33,2015,0.54,9999,Non-Crime (not reported to state),Closed/Cleared,Campus Recreation Center   160   Z4
34,2015,0.54,2699,Fraudulent Activity Offense Free ,Inactive,UA Whitaker Biomedical Engineering
35,2015,0.54,5499,Traffic Offense (describe offense),Closed/Cleared,"Williams Street, NW / North Avenue, NW"
36,2015,0.54,9999,Non-Crime (not reported to state),Closed/Cleared,Towers Residence Hall
37,2015,0.54,9999,Non-Crime (not reported to state),Closed/Cleared,Beringause Building   46   Z1
38,2015,0.54,9999,Non-Crime (not reported to state),Closed/Cleared,Van Leer Building
39,2015,0.54,9999,Non-Crime (not reported to state),Further Investigation,North Avenue Apartments
40,2015,0.54,5707,Criminal Trespass,Closed/Cleared,Montgomery Knight Building  (SST II)   101   Z2
41,2015,0.54,2308,Larceny – From Building,Closed/Cleared,Library   77   Z2
42,2015,0.54,9999,Non-Crime (not reported to state),Closed/Cleared,Beringause Building   46   Z1
43,2015,0.55,9999,Non-Crime (not reported to state),Inactive,Library   77   Z2
44,2015,0.55,9999,Non-Crime (not reported to state),Inactive,Klaus Advanced Computing Building
45,2015,0.55,9999,Non-Crime (not reported to state),Closed/Cleared,"Tenth Street, NW @ Fowler Street, NW"
46,2015,0.55,9999,Non-Crime (not reported to state),Closed/Cleared,Campus Recreation Center   160   Z4
47,2015,0.55,2699,Fraudulent Activity Offense Free ,Inactive,UA Whitaker Biomedical Engineering
48,2015,0.55,5499,Traffic Offense (describe offense),Closed/Cleared,"Williams Street, NW / North Avenue, NW"
49,2015,0.55,9999,Non-Crime (not reported to state),Closed/Cleared,Towers Residence Hall
50,2015,0.55,9999,Non-Crime (not reported to state),Closed/Cleared,Beringause Building   46   Z1
51,2015,0.55,9999,Non-Crime (not reported to state),Closed/Cleared,Van Leer Building
52,2015,0.55,9999,Non-Crime (not reported to state),Further Investigation,North Avenue Apartments
53,2015,0.55,5707,Criminal Trespass,Closed/Cleared,Montgomery Knight Building  (SST II)   101   Z2
54,2015,0.55,2308,Larceny – From Building,Closed/Cleared,Library   77   Z2
55,2015,0.55,9999,Non-Crime (not reported to state),Closed/Cleared,Beringause Building   46   Z1
56,2015,0.67,9999,Non-Crime (not reported to state),Inactive,Library   77   Z2
57,2015,0.67,9999,Non-Crime (not reported to state),Inactive,Klaus Advanced Computing Building
58,2015,0.67,9999,Non-Crime (not reported to state),Closed/Cleared,"Tenth Street, NW @ Fowler Street, NW"
59,2015,0.67,9999,Non-Crime (not reported to state),Closed/Cleared,Campus Recreation Center   160   Z4
60,2015,0.67,2699,Fraudulent Activity Offense Free ,Inactive,UA Whitaker Biomedical Engineering
61,2015,0.67,5499,Traffic Offense (describe offense),Closed/Cleared,"Williams Street, NW / North Avenue, NW"
62,2015,0.67,9999,Non-Crime (not reported to state),Closed/Cleared,Towers Residence Hall
63,2015,0.67,9999,Non-Crime (not reported to state),Closed/Cleared,Beringause Building   46   Z1
64,2015,0.67,9999,Non-Crime (not reported to state),Closed/Cleared,Van Leer Building
65,2015,0.67,9999,Non-Crime (not reported to state),Further Investigation,North Avenue Apartments
66,2015,0.67,5707,Criminal Trespass,Closed/Cleared,Montgomery Knight Building  (SST II)   101   Z2
67,2015,0.67,2308,Larceny – From Building,Closed/Cleared,Library   77   Z2
68,2015,0.67,9999,Non-Crime (not reported to state),Closed/Cleared,Beringause Building   46   Z1
69,2015,0.41,9999,Non-Crime (not reported to state),Inactive,Library   77   Z2
70,2015,0.41,9999,Non-Crime (not reported to state),Inactive,Klaus Advanced Computing Building
71,2015,0.41,9999,Non-Crime (not reported to state),Closed/Cleared,"Tenth Street, NW @ Fowler Street, NW"
72,2015,0.41,9999,Non-Crime (not reported to state),Closed/Cleared,Campus Recreation Center   160   Z4
73,2015,0.41,2699,Fraudulent Activity Offense Free ,Inactive,UA Whitaker Biomedical Engineering
74,2015,0.41,5499,Traffic Offense (describe offense),Closed/Cleared,"Williams Street, NW / North Avenue, NW"
75,2015,0.41,9999,Non-Crime (not reported to state),Closed/Cleared,Towers Residence Hall
76,2015,0.41,9999,Non-Crime (not reported to state),Closed/Cleared,Beringause Building   46   Z1
77,2015,0.41,9999,Non-Crime (not reported to state),Closed/Cleared,Van Leer Building
78,2015,0.41,9999,Non-Crime (not reported to state),Further Investigation,North Avenue Apartments
79,2015,0.41,5707,Criminal Trespass,Closed/Cleared,Montgomery Knight Building  (SST II)   101   Z2
80,2015,0.41,2308,Larceny – From Building,Closed/Cleared,Library   77   Z2
81,2015,0.41,9999,Non-Crime (not reported to state),Closed/Cleared,Beringause Building   46   Z1
82,2015,0.18,9999,Non-Crime (not reported to state),Inactive,Library   77   Z2
83,2015,0.18,9999,Non-Crime (not reported to state),Inactive,Klaus Advanced Computing Building
84,2015,0.18,9999,Non-Crime (not reported to state),Closed/Cleared,"Tenth Street, NW @ Fowler Street, NW"
85,2015,0.18,9999,Non-Crime (not reported to state),Closed/Cleared,Campus Recreation Center   160   Z4
86,2015,0.18,2699,Fraudulent Activity Offense Free ,Inactive,UA Whitaker Biomedical Engineering
87,2015,0.18,5499,Traffic Offense (describe offense),Closed/Cleared,"Williams Street, NW / North Avenue, NW"
88,2015,0.18,9999,Non-Crime (not reported to state),Closed/Cleared,Towers Residence Hall
89,2015,0.18,9999,Non-Crime (not reported to state),Closed/Cleared,Beringause Building   46   Z1
90,2015,0.18,9999,Non-Crime (not reported to state),Closed/Cleared,Van Leer Building
91,2015,0.18,9999,Non-Crime (not reported to state),Further Investigation,North Avenue Apartments
92,2015,0.18,5707,Criminal Trespass,Closed/Cleared,Montgomery Knight Building  (SST II)   101   Z2
